Abnormality of the breast	HP:0000769
Prelingual sensorineural deafness	None
Prelingual sensorineural hearing impairment	None
Dilated semicircular canal	None
Enlarged semicircular canal	None
Squared superior portion of helix	None
Progressive high frequency hearing loss	None
Hearing loss, high-frequency	None
High-frequency deafness	None
Progressive high-frequency hearing loss	None
High frequency hearing loss	None
High-frequency hearing impairment	None
Persistent stapedial artery	None
Cystic lesions of the pinnae	None
Recurrent infections of the middle ear	None
Tragal bridge of crus of helix	None
Helix, crus, tragal bridge	None
Prominent ear helix	None
Large helix	None
Abnormality of the reflex of the tensor tympani muscle	None
Susceptibility to otitis media	None
Recurrent middle ear infection	None
Recurrent otitis media	None
Frequent otitis media	None
Recurrent episodes of otitis media	None
Multiple episodes of otitis media	None
Otitis media, recurrent	None
Excessive cerumen	None
Unilateral vestibular schwannoma	None
Postlingual sensorineural hearing impairment	None
Absent auditory canals	None
Absent ear canal	None
Absent external auditory canals	None
Atresia of the external auditory canal	None
Atretic external auditory canals	None
Atretic auditory canals	None
Auditory canal atresia	None
Atretic auditory canal	None
External auditory meatal atresia	None
External acoustic meatus atresia	None
External auditory canal atresia	None
External auditory meatus atresia	None
Atretic external auditory canal	None
Atresia of the external auditory canals	None
Profound hearing impairment	None
Type 1 cryptotia	None
Type I cryptotia	None
Large pinnae	None
Macrotia	None
Large ears	None
Otosclerosis	None
Abnormal antitragus morphology	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Moderate hearing impairment	None
Inflammation of cartilage of pinna	None
Chondritis of pinna	None
Asymmetry of the shape of the ears	None
Aplasia of the middle ear ossicles	None
Absent middle ear ossicles	None
Absent middle ear bones	None
Congenital earlobe sinuses	None
Angulated antihelix	None
Morphological abnormality of the inner ear	None
Overfolding of superior helix	None
Overfolding of the superior helices	None
Railroad track ears	None
Helix, crus, horizontal	None
Railroad track sign	None
Horizontal orientation of the crus of helix	None
Horizontal crus of helix	None
Horizontal orientation of the ear crus	None
Low-frequency hearing loss	None
Otitis media, chronic	None
Chronic infections of the middle ear	None
Chronic middle ear infection	None
Chronic ear infection	None
Chronic otitis media	None
Protruding ears	None
Protruding ear	None
Prominent ears	None
Prominent ear	None
Bilateral sensorineural deafness	None
Bilateral sensorineural hearing impairment	None
Bilateral sensorineural hearing loss	None
Bilateral nerve deafness	None
Hearing loss, sensorineural, bilateral	None
Hidden ear	None
Cryptotia	None
Buried ear	None
Mid-frequency hearing loss	None
Absent/underdeveloped external ear	None
Aplasia/Hypoplasia of the external ear	None
Absent/small external ear	None
Absent stapes head	None
Helix, crus, expanded terminal portion	None
Expanded terminal portion of crus of helix	None
False perception of self-motion	None
Abnormal doll's eye reflex	None
Abnormal speech discrimination	None
Poor speech discrimination	None
Hyperplastic superior crus of antihelix	None
Hypertrophic superior crus of antihelix	None
Prominent superior crus of antihelix	None
Attached earlobe	None
Adherent earlobe	None
High set ears	None
Superiorly displaced ears	None
Outer ear tumor	None
Outer ear tumour	None
Neoplasm of the outer ear	None
Cleft at the superior portion of the pinna	None
Cleft at the superior portion of the ear	None
Inner ear tumour	None
Neoplasm of the inner ear	None
Inner ear tumor	None
Hyperplastic antitragus	None
Prominent antitragus	None
Hypertrophic antitragus	None
Enlarged antitragus	None
Asymmetry of the ears	None
Asymmetric ears	None
Exostosis of the external auditory canal	None
External auditory canal exostoses	None
Abnormal vestibular saccule morphology	None
Unilateral deafness	None
Deafness in one ear	None
Deafness, unilateral	None
Absence of the reflex of the tensor tympani muscle	None
Abnormality of anterior crus of antihelix	None
Abnormality of inferior crus of antihelix	None
Abnormal Eustachian tube morphology	None
Abnormality of the Eustachian tube	None
Functional abnormality of the middle ear	None
Asymmetry of the size of ears	None
Vertigo	None
Dizzy spell	None
Dizziness	None
Unilateral conductive hearing impairment	None
Underdeveloped stem of antihelix	None
Antihelix, stem, underdeveloped	None
Absent/underdeveloped cochlea	None
Absent/small cochlea	None
Aplasia/Hypoplasia of the cochlea	None
Abnormality of the vestibular nerve	None
Abnormal shape/structure of ear	None
Microtia, third degree	None
Third-degree microtia	None
Increased CSF tyrosine concentration	None
High tyrosine levels in cerebrospinal fluid	None
Head titubation	None
Generalised convulsive status epilepticus	None
Generalized convulsive status epilepticus	None
Restricted interests	None
Circumscribed interests	None
Peripheral sensory neuropathy	None
Sensory neuropathy	None
Damage to nerves that sense feeling	None
Tethered cord	None
Occult spinal dysraphism	None
Head lag	None
Persistent head lag	None
Headlag	None
Nicotine dependence	None
Nicotine addiction	None
Impulsivity	None
Impulsive	None
Bacterial encephalitis	None
Frequent temper tantrums	None
Focal cortical dysplasia type IIb	None
EEG with generalised sharp slow waves	None
EEG with generalized sharp slow waves	None
Slowed slurred speech	None
Intellectual disability, profound	None
Profound mental retardation	None
Mental retardation, profound	None
IQ less than 20	None
Hypoplastic cerebellar vermis	None
Cerebellar vermis hypoplasia	None
Hypoplasia of the cerebellar vermis	None
Cerebellar vermal hypoplasia	None
Focal hyperintensity of cerebral white matter on MRI	None
Abnormality of the lumbosacral nerve plexus	None
Decreased size of cranium	None
Decreased circumference of cranium	None
Reduced head circumference	None
Decreased size of head	None
small calvarium	None
Microcephaly	None
Small skull	None
Abnormally small head	None
Decreased size of skull	None
Small head circumference	None
Abnormally small skull	None
Abnormally small cranium	None
small cranium	None
Small head	None
Essential tremor	None
Kinetic tremor	None
Semilobar holoprosencephaly	None
Abnormal neuron branching	None
Abnormal neuronal branching	None
Aberrant neuronal branching	None
Generalised myoclonic seizure	None
Generalised epileptic myoclonus	None
Generalized epileptic myoclonus	None
Myoclonus seizures	None
Generalized myoclonic seizure	None
Myoclonic epilepsy, progressive	None
Generalized myoclonic seizures	None
Generalised myoclonic seizures	None
Abnormal myelination	None
Jerky head movements	None
Head jerking	None
Jerking head movements	None
Anterior hypopituitarism	None
Focal aware autonomic seizure with lacrimation	None
Focal impaired awareness myoclonic seizure	None
Favourable response of weakness to acetylcholine esterase inhibitors	None
Favorable response of weakness to acetylcholine esterase inhibitors	None
Agitation	None
Frontal encephalocele	None
Temporal lobe calcification	None
Hoffmann sign	None
Hoffmann's sign	None
Nonprogressive cerebellar ataxia	None
Status cribrosum	None
Abnormal CSF/serum albumin ratio	None
Spastic paraparetic gait	None
Abnormality of ganglion of peripheral nervous system	None
Inflexible adherence to routines or rituals	None
Localized autonomic seizures without altered responsiveness	None
Focal aware autonomic seizure	None
Partial autonomic seizures without altered responsiveness	None
Localised autonomic seizures without altered responsiveness	None
Focal autonomic seizures without altered responsiveness	None
EEG with burst suppression	None
Focal impaired awareness clonic seizure	None
Neonatal electro-clinical autonomic seizure	None
Focal aware emotional seizure with fear/anxiety/panic	None
Somatosensory auras	None
Partial somatosensory seizure	None
Focal somatosensory seizure	None
Somatosensory aura	None
Focal sensory seizure with somatosensory features	None
CNS demyelination	None
Demyelination in central white matter	None
Subarachnoid hemorrhage	None
Subarachnoid haemorrhage	None
Increased CSF methionine concentration	None
High methionine levels in cerebrospinal fluid	None
Absent pituitary gland	None
Aplasia of the pituitary gland	None
Anterior pituitary agenesis	None
Left hemiplegia	None
Hemiplegia (left)	None
Leukoencephalopathy	None
Focal non-convulsive status epilepticus without coma	None
Unilateral paralysis of the vocal cord	None
Unilateral vocal cord paralysis	None
EEG with generalized slow activity grade 4	None
EEG with generalised slow activity grade 4	None
Flat line EEG	None
Motor deterioration	None
Progressive degeneration of movement	None
Resting tremor	None
Rest tremor	None
Parkinsonian tremor	None
Tremor at rest	None
CWPs	None
Cotton wool plaques	None
Distal motor neuropathy	None
Motor axonal neuropathy	None
Length dependent motor neuropathy	None
Cervicomedullary schisis	None
Abnormality of cervical plexus	None
Focal impaired awareness sensory seizure with hot-cold sensations	None
Focal aware cognitive seizure with deja vu/jamais vu	None
EEG with occipital slowing	None
Elevated brain glutamine level by MRS	None
Abnormal trigeminal nerve morphology	None
Abnormality of the nervus trigeminus	None
Abnormal fifth cranial nerve morphology	None
Abnormality of the fifth cranial nerve	None
Mental retardation, progressive	None
Intellectual disability, progressive	None
Progressive mental retardation	None
Ependymoma	None
Focal impaired awareness verbal automatism seizure	None
Focal impaired awareness motor seizure with paresis/paralysis	None
Focal motor impaired awareness seizure with paresis/paralysis	None
Brain imaging abnormality	None
Abnormal brain imaging	None
Cognitive regression	None
EEG with focal sharp waves	None
Photodysphoria	None
Light hypersensitivity	None
Extreme sensitivity of the eyes to light	None
Photophobia	None
Widened cerebral subarachnoid space	None
Focal autonomic seizure with piloerection	None
Seizures, tonic-clonic, photosensitive	None
Photosensitive tonic-clonic seizure	None
Photically induced tonic-clonic seizure	None
Photosensitive tonic-clonic seizures	None
Low CSF 5-methyltetrahydrofolate	None
Cerebral folate deficiency	None
Reduced CSF 5-methyltetrahydrofolate concentration	None
Decreased CSF 5-methyltetrahydrofolate concentration	None
Caudate degeneration	None
Caudate atrophy	None
Cerebral hamartomata	None
Cerebral hamartoma	None
Abnormal thalamic MRI signal intensity	None
Preterm intraventricular haemorrhage	None
Preterm intraventricular hemorrhage	None
Uncontrollable movement in upper arms	None
Upper limb spasticity	None
Fusion of the caudate and putamen	None
Elevated CSF chitotriosidase 1 concentration	None
Elevated CSF chitotriosidase 1 level	None
Transmantle columnar heterotopia	None
Confluent hypointensity of cerebral white matter on MRI	None
Nervous system cancer	None
Neoplasia of the nervous system	None
Tumour of the nervous system	None
Neoplasm of the nervous system	None
Tumor of the nervous system	None
Reduced brain N-acetyl aspartate level by MRS	None
Reduced brain N-acetyl aspartate level by magnetic resonance spectroscopy	None
EEG with generalized epileptiform discharges	None
EEG with generalised epileptiform discharges	None
Abnormal dura mater morphology	None
Abnormality of the dura mater	None
Hypoganglionosis	None
Decreased thyroid-stimulating hormone level	None
Decreased thyrotropin level	None
Decreased plasma TSH	None
Inferior cerebellar vermis hypoplasia	None
Inferior vermis hypoplasia	None
Hypoplasia of inferior vermis	None
Somnambulism	None
Sleep walking	None
Diastomatomyelia	None
TSH deficient hypothyroidism	None
Pituitary hypothyroidism	None
Secondary hypothyroidism	None
Thyrotropin deficiency	None
Low thyroid gland function due to abnormal pituitary gland	None
Thyroid stimulating hormone deficiency	None
Abnormal finger chase test	None
Lack of coordination of movement	None
Abnormal finger-nose-finger test	None
Dysmetria	None
Hostility	None
Neurodevelopmental delay	None
NDD	None
EEG with parietal focal spikes	None
Abnormality of SSEPs	None
Abnormality of somatosensory evoked potentials	None
Cerebral granulomatosis	None
Short corpus callosum	None
Delirium	None
Abnormality of the fourth ventricle	None
Abnormal fourth ventricle morphology	None
Focal emotional seizure with agitation	None
Decreased amplitude of sensory action potentials	None
Autonomic status epilepticus	None
Myoclonic absences	None
Myoclonic absence seizure	None
Myoclonic absence	None
Posterior communicating artery aneurysm	None
Overfriendliness	None
Parageusia	None
Metallic taste in mouth	None
Altered sense of taste	None
Metallic taste	None
Dysgeusia	None
Increased CSF isoleucine concentration	None
High levels of isoleucine in cerebrospinal fluid	None
