Abnormality of the breast	HP:0000769
Parathyroid hypoplasia	None
Underdeveloped parathyroid glands	None
Impaired growth-hormone response to insulin stimulation test	None
Abnormality of circulating glucocorticoid level	None
Increased serum serotonin	None
Abnormal circulating free T4 level	None
Abnormal circulating free thyroxine level	None
Abnormal circulating free T4 concentration	None
Asymptomatic hyperthyroxinemia	None
Euthyroid hyperthyroxinemia	None
Primary gonadal insufficiency	None
Thyroid gland inflammation	None
Thyroiditis	None
Abnormal response to hCG stimulation test	None
Abnormal response to human chorionic gonadotrophin stimulation test	None
Inappropriate antidiuretic hormone secretion	None
Syndrome of inappropriate antidiuretic hormone secretion	None
SIADH	None
Inappropriate ADH secretion	None
Thyroid goitre	None
Thyroid goiter	None
Goiter	None
Goitre	None
Enlarged thyroid gland in neck	None
Lung carcinoid tumor	None
Pulmonary carcinoid tumor	None
Pulmonary carcinoid tumour	None
Lung carcinoid tumour	None
Catecholamine levels abnormal	None
Abnormality of circulating catecholamine level	None
Reduced circulating growth hormone concentration	None
Insulin-resistant diabetes mellitus at puberty	None
Neuroendocrine neoplasm	None
Neuroendocrine neoplasia	None
Glucagonoma	None
Premature adrenarche	None
Secondary adrenal insufficiency	None
Central adrenal insufficiency	None
Neoplasm of the posterior pituitary	None
Neoplasm of the neurohypophysis	None
Diabetic ketoacidosis	None
Diabetic ketosis	None
Adrenal gland disease	None
Abnormality of the adrenal glands	None
Adrenal abnormalities	None
Thyroid atypical adenoma	None
Premature pubarche	None
Premature pubic hair growth	None
Abnormal circulating progesterone level	None
Prolactinoma	None
Abnormality of pineal physiology	None
Impaired cortisol response to insulin stimulation test	None
Increased radioactive iodine uptake	None
Hyperpituitarism	None
Abnormality of circulating cortisol level	None
Decreased serum progesterone	None
Decreased circulating progesterone	None
Non-secretory adrenocortical adenoma	None
Non-secretory adrenal adenoma	None
Decreased circulating 18-hydroxycortisone level	None
Reduced TSH response to thyrotrophin-releasing hormone stimulation test	None
Abnormal plasma renin	None
Abnormal circulating renin	None
Abnormality of the hypothalamus-pituitary axis	None
Low parathyroid hormone	None
Hypoparathyroidism	None
Decreased parathyroid hormone secretion	None
Abnormal TSH response to TRH stimulation test	None
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	None
Adrenogenital syndrome	None
Papillary thyroid carcinoma	None
Papillary carcinoma of thyroid	None
Thyroid papillary carcinoma	None
Secretory adrenal adenoma	None
Secretory adrenocortical adenoma	None
Hypogonadism, female	None
Female hypogonadism	None
Abnormal circulating follicle-stimulating hormone level	None
Abnormal circulating follicle-stimulating hormone concentration	None
Abnormal serum estradiol	None
Abnormal circulating gastrin level	None
Abnormal circulating gastrin concentration	None
Congenital adrenal hyperplasia	None
Heteropic thyroid gland	None
Abnormal thryoid location	None
Aberrant thyroid gland	None
Ectopic thyroid gland	None
Ectopic thyroid	None
Aberrant thyroid	None
Increased serum estriol	None
Secondary growth hormone deficiency	None
Increased glucagon level	None
Enlarged adrenal glands	None
Adrenal hyperplasia	None
Decreased circulating ACTH level	None
Abnormal glucagon level	None
Adrenal neoplasia	None
Neoplasm of the adrenal gland	None
Abnormal endocrine physiology	None
Abnormal serum insulin-like growth factor 1 level	None
Congenital hypoparathyroidism	None
Neonatal hypoparathyroidism	None
Medullary thyroid carcinoma	None
Medullary thyroid cancer	None
Reduced pancreatic beta cells	None
Reduced T4 plasma level	None
Decreased circulating T4 concentration	None
Decreased circulating T4 level	None
Decreased circulating thyroxine level	None
Decreased serum insulin-like growth factor 1	None
Precocious puberty	None
Early onset of puberty	None
Early puberty	None
Decreased circulating gonadotropin concentration	None
Decreased circulating gonadotropin level	None
Abnormality of the thyroid gland	None
Thyroid abnormality	None
Thyroid disease	None
Pituitary prolactinoma	None
Prolactin-secreting pituitary adenoma	None
Pituitary prolactin cell adenoma	None
Precocious puberty in females	None
Reduced circulating leptin level	None
Decreased serum leptin	None
Abnormal T3/T4 ratio	None
Abnormal circulating 18-hydroxycorticosterone level	None
Abnormal adiponectin level	None
Neoplasm of the thymus	None
Abnormality of endocrine pancreas physiology	None
Thymic hyperplasia	None
Thymus hyperplasia	None
Enlarged thymus	None
Hashimoto's thyroiditis	None
Hashimoto thyroiditis	None
Chronic lymphocytic thyroiditis	None
Abnormal circulating erythropoietin concentration	None
Adrenal overactivity	None
Anaplastic thyroid carcinoma	None
Hypopituitarism	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Decreased plasma testosterone-to-androstenedione ratio	None
Decreased gonadotropin-stimulated testosterone-to-androstenedione ratio	None
disorder of pituitary gland	None
Abnormality of the pituitary gland	None
Parathyroid adenomas	None
Parathyroid adenoma	None
Hypothalamic gonadotropin-releasing hormone deficiency	None
Hypothalamic GNRH deficiency	None
Positive perchlorate discharge test	None
Abnormal response to glucagon stimulation test	None
Decreased function of male gonad	None
Male hypogonadism	None
Tympanic nerve tumours	None
Tympanic nerve tumour	None
Glomus tympanicum paraganglioma	None
Tympanic nerve tumor	None
Tympanic nerve tumors	None
ACTH deficiency	None
Corticotropin deficiency	None
Adrenocorticotropic hormone deficiency	None
Increased circulating corticosterone level	None
Intestinal carcinoid	None
Thyrotoxicosis from ectopic thyroid tissue	None
Thyroid papillary adenoma	None
Abnormal circulating osteocalcin level	None
Elevated plasma aldosterone	None
Hyperaldosteronism	None
Mineralocorticoid excess	None
Increased aldosterone	None
Increased aldosterone production	None
Abnormality of the renin-aldosterone axis	None
Abnormality of renin-angiotensin system	None
Increased circulating androgen level	None
Hyperandrogenemia	None
Increased circulating androgen concentration	None
Posterior pituitary agenesis	None
Neurohypophysis agenesis	None
Thyroid crisis	None
Carotid paraganglioma	None
Increased circulating ACTH level	None
High blood corticotropin levels	None
Increased plasma ACTH	None
Neonatal insulin-dependent diabetes mellitus	None
Abnormality of the endocrine system	None
Endocrine system disease	None
Abnormality of the parathyroid gland	None
Parathyroid disease	None
Decreased T3/T4 ratio	None
Thymoma	None
Hypocortisolism	None
Hypocortisolemia	None
Decreased cortisol production	None
Glucocorticoid insufficiency	None
Low to undetectable plasma cortisol	None
Decreased circulating cortisol level	None
Plasma cortisol low	None
Low blood cortisol level	None
Increased circulating free T3	None
Increased serum fT3	None
Increased serum free triiodothyronine	None
Increased serum free T3	None
Increased circulating free triiodothyronine	None
Absence of secondary sex characteristics	None
No secondary sexual characteristics at puberty	None
Androgen insufficiency	None
Hypoandrogenism	None
Thyroid C cell hyperplasia	None
Abnormal serum estrone	None
MODY	None
Maturity onset diabetes of the young	None
Maturity-onset diabetes of the young	None
CRH deficient adrenal insufficiency	None
Tertiary adrenal insufficiency	None
Corticotropin-releasing hormone deficient adrenal insufficiency	None
Abnormal hypothalamus physiology	None
Resistance to thyroid hormone	None
Thyroid hormone resistance	None
Elevated serum levels of free thyroid hormone with nonsuppressed TSH	None
Impaired sensitivity to thyroid hormone	None
Thyroid hormone receptor defect	None
End-organ unresponsiveness to thyroid hormone	None
Pineal cyst	None
Increased serum estrone	None
Abnormal response to corticotropin releasing hormone stimulation test	None
Abnormal response to CRH stimulation test	None
Pseudohypoparathyroidism	None
Diabetes mellitus	None
Premature thelarche	None
Premature breast development	None
Thyroid cancer, nonmedullary	None
Non-medullary thyroid carcinoma	None
Nonmedullary thyroid carcinoma	None
Increased urinary 11-deoxytetrahydrocorticosterone level	None
Adrenal gland carinoma	None
Adrenocortical carcinoma	None
Adrenal carcinoma	None
Elevated gonadotropins	None
Gonadotropin excess	None
Increased circulating gonadotropin level	None
Elevated serum gonadotropins	None
Abnormal circulating androstenedione concentration	None
Abnormal circulating leptin concentration	None
Abnormality of circulating leptin level	None
Ectopic posterior pituitary	None
Ectopic neurohypophysis	None
Reduced radioactive iodine uptake	None
Ectopic parathyroid	None
Elevated circulating catecholamine level	None
Abnormal pineal melatonin secretion	None
Abnormal pituitary glycoprotein hormone alpha subunit level	None
Large thyroid	None
Thyroid hyperplasia	None
Weakness of the vocal cords	None
Vocal cord paresis in severe cases	None
Vocal cord paresis	None
Hoarse voice due to vocal cord paresis	None
Vocal cord paralysis	None
Laryngeal paralysis	None
Inability to move vocal cords	None
Abnormality of the voice	None
Voice abnormality	None
Hoarse voice	None
Hoarseness	None
Husky voice	None
Hypernasal voice	None
Nasal voice	None
Nasal speech	None
Hypernasal speech	None
Weak cry	None
Hoarse cry	None
Dysphonia	None
Inability to produce voice sounds	None
Voice change	None
High pitched voice	None
High-pitched voice	None
Quiet voice	None
Hypophonia	None
Weak voice	None
Soft voice	None
Aphonia	None
Loss of voice	None
Imperfect vocal cord adduction	None
Pseudobulbar palsy	None
Pseudobulbar paralysis	None
Pseudobulbar syndrome	None
Unilateral vocal cord paralysis	None
Unilateral paralysis of the vocal cord	None
Speech articulation difficulties	None
Abnormally low-pitched voice	None
Spasmodic dysphonia	None
Laryngeal dystonia	None
Bilateral vocal cord paralysis	None
Unilateral vocal cord paresis	None
Bilateral vocal cord paresis	None
Abnormal cry	None
High-pitched cry	None
Staccato cry	None
Abnormal speech prosody	None
Monotonic speech	None
Increased pitch variability of speech	None
Vocal cord dysfunction	None
Hyponasal speech	None
Cat cry	None
cri de chat-associated cry	None
cat-like cry	None
Fractured phalanx of pes	None
bone phalanx of pes	None
Speckled calcifications in end part of innermost long bone of upper arm	None
Stippled calcification proximal humeral epiphyses	None
Camptodactyly of 2nd finger	None
Camptodactyly of second finger	None
Contracture of the proximal interphalangeal joint of the 2nd finger	None
Camptodactyly of index finger	None
Thenar muscle weakness	None
Large wrist bones	None
Large carpal bones	None
Large carpals	None
bone fibula	None
Fibula fracture	None
Fracture of the fibula	None
Broken fibula	None
Fractured fibula	None
Triangular shaped distal phalanges of the hand	None
Triangular shaped outermost bone of the hand	None
Triangular epiphysis of the proximal phalanx of the 4th toe	None
Triangular end part of the innermost bone of the 4th toe	None
Webbed first through fourth toes	None
1-4 toe syndactyly	None
Increased bone density in the innermost bone of the pinky toe	None
Increased bone density in the innermost bone of the little toe	None
Increased bone density in the innermost bone of the pinkie toe	None
Sclerosis of the proximal phalanx of the 5th toe	None
Wide outermost bone of the index finger	None
Broad distal phalanx of the 2nd finger	None
Polyarticular arthropathy	None
Abnormality of the distal phalanx of the hallux	None
Abnormality of the outermost bone of the big toe	None
Superior rib anomalies	None
Coxa magna	None
Deficiency of zygomaticomaxillary bone complex	None
Underdevelopment of zygomaticomaxillary bone complex	None
Hypoplasia of zygomaticomaxillary complex	None
Hypoplasia of malar bone complex	None
Decreased size of zygomaticomaxillary bone complex	None
Maxillozygomatic hypoplasia	None
Decreased projection of zygomaticomaxillary bone complex	None
Pseudoepiphyses of the 3rd toe	None
Hypoplastic pectoral muscle	None
Small pec muscle	None
Underdeveloped pec muscle	None
Pectoralis hypoplasia	None
Tendon thickening	None
Aplasia/Hypoplasia of the scapulae	None
Absent/small shoulder blade	None
Absent/underdeveloped shoulder blade	None
Steep mandibular plane angle	None
Obtuse angle of mandible	None
High mandibular plane angle	None
bone carpal bone	None
Carpal bone fracture	None
Fractured wrist	None
Fractured carpal bone	None
Wrist fracture	None
Broken wrist	None
Increased bone density in the outermost bone of the middle finger	None
Sclerosis of the distal phalanx of the 3rd finger	None
Limited mobility of innermost hinge joint	None
Limited mobility of proximal interphalangeal joint	None
Cranial asymmetry	None
Asymmetry of head	None
Abnormality of cranium shape	None
