Pneumomediastinum	HP:0025421
Low arginine levels in cerebrospinal fluid	None
High urine occult blood	None
Hematuria	None
Blood in urine	None
Phosphohydroxylysinuria	None
Abnormal circulating beta globulin level	None
Vitamin B8 deficiency	None
Low levels of vitamin B8	None
Abnormal insulin like growth factor binding protein acid labile subunit level	None
Abnormal circulating tryptophan concentration	None
Abnormality of tryptophan metabolism	None
Hypokalemic hypochloremic metabolic alkalosis	None
Recurrent low blood sugar levels	None
Recurrent hypoglycemic episodes	None
hypoglycemia, recurrent	None
Recurrent hypoglycemia	None
hypoglycaemia, recurrent	None
Hypoglycemic episodes	None
Recurrent hypoglycaemia	None
Glutaricaciduria	None
Increased glutarate level in urine	None
Glutarate aciduria	None
Glutaric aciduria	None
Increased UDP-glucose 4-epimerase level in plasma	None
Increased uridine diphosphate glucose-4-epimerase level in plasma	None
Decreased circulating chenodiol concentration	None
Decreased circulating chenodeoxycholic acid concentration	None
Elevated circulating lyso-globotriaosylsphingosine concentration	None
Abnormality of threonine metabolism	None
Abnormal circulating threonine concentration	None
Elevated alkaline phosphatase of bone origin	None
Elevated ALP of bone origin	None
Increased serum bone-specific alkaline phosphatase	None
Abnormal CSF aspartate concentration	None
Abnormal CSF aspartic acid concentration	None
Abnormal aspartic acid levels in cerebrospinal fluid	None
Abnormality of carnosine metabolism	None
Abnormal circulating carnosine concentration	None
Increased urinary hexanoic acid level	None
Vitamin B6 deficiency	None
Reduced circulating vitamin B6 level	None
Reduced vitamin b6 levels	None
Abnormal circulating lipoprotein lipase concentration	None
Hyperkeratosis over edematous areas	None
Increased urinary epinephrine	None
Elevated urinary epinephrine	None
Clostridium botulinum toxin in stool	None
Positive fecal Clostridium botulinum test	None
Amyloidosis	None
Amyloid disease	None
Mixed respiratory and metabolic acidosis	None
Reduced O-mannosyl glycans on alpha-dystroglycan	None
Decreased O-mannosyl glycans on alpha-dystroglycan	None
Abnormal circulating monocarboxylic acid concentration	None
Respiratory alkalosis	None
Decreased CSF erythritol concentration	None
Decreased level of erythritol in cerebrospinal fluid	None
High alpha-aminobutyrate levels in cerebrospinal fluid	None
Increased CSF alpha-aminobutyrate concentration	None
Abnormal concentration of T-antigen	None
Abnormal core 1 O-glycan level	None
Edema of dorsum of hands	None
Edema of the dorsum of hands	None
Oedema of the dorsum of hands	None
Oedema of dorsum of hands	None
Abnormal sweat electrolytes	None
Decreased CSF glutamate concentration	None
Low glutamic acid levels in cerebrospinal fluid	None
Increased circulating thyroglobulin level	None
Transient decreased circulating IgA	None
Hypoproteinemia	None
Decreased protein levels in blood	None
Waldenstrom macroglobulinemia	None
Monoclonal immunoglobulin M proteinemia	None
Abnormal magnesium metabolism	None
Abnormal Mg concentration	None
Abnormal magnesium concentration	None
Abnormality of magnesium homeostasis	None
Increased CSF tryptophan concentration	None
High tryptophan levels in cerebrospinal fluid	None
Intestinal lymphedema	None
Methylmalonic acidemia	None
Elevated circulating methylmalonic acid concentration	None
Hypocalcemic seizures	None
Seizures due to hypocalcemia	None
Low calcium seizures	None
Persistent fever	None
Calcium phosphate crystalluria	None
Histidinemia	None
High blood histidine level	None
Hyperhistidinemia	None
Increased globoside Gb4 level	None
Increased globoside Gb4 concentration	None
Chronic absent circulating IgE	None
Chronic (near) absent IgE in blood	None
Abnormal circulating glycerol level	None
Abnormal delayed hypersensitivity skin test	None
Increased urinary K	None
Hyperkaliuresis	None
Increased urinary potassium	None
Generalized tissue edema	None
Generalised tissue oedema	None
Generalized edema	None
Generalised oedema	None
Angiotensin-converting enzyme (ACE) high in CSF	None
Elevated CSF angiotensin-converting enzyme concentration	None
Decreased G6PD level in tissue	None
Decreased glucose-6-phosphate dehydrogenase level in tissue	None
Abnormal circulating long-chain fatty-acid concentration	None
Hydrops fetalis	None
Abnormal CSF protein level	None
Abnormal CSF protein concentration	None
Increased circulating palmitate level	None
Lambda Bence Jones proteinuria	None
High blood hydroxyproline levels	None
Hydroxyprolinemia	None
Urinary casts	None
Cylindruria	None
Carnitinuria	None
Abnormal IgA level in blood	None
Abnormal circulating IgA level	None
Hypoalbuminaemia	None
Hypoalbuminemia	None
Low blood albumin	None
Low albumin	None
Low levels of vitamin B2	None
Riboflavin deficiency	None
Vitamin B2 deficiency	None
Increased level of 3-hydroxy-3-methylglutaric acid in urine	None
Macular edema	None
Macular oedema	None
Abnormal amyloid beta peptide CSF concentration	None
Abnormal CSF branched chain amino acid concentration	None
Abnormal branched-chain amino acid levels in cerbrospinal fluid	None
Decreased mitochondrial number	None
Decreased activity of mitochondrial complex II	None
Respiratory complex II deficiency	None
Extremely high CPK level	None
Extremely elevated CPK	None
Extremely elevated phospho-CK serum level	None
Extremely elevated serum CK level	None
Extremely elevated creatine kinase	None
Extremely elevated creatine phosphokinase	None
Abnormal circulating glutamate concentration	None
Abnormality of glutamate metabolism	None
Glyoxalase deficiency	None
Abnormal circulating phospholipid concentration	None
Abnormal level of phospholipids	None
Elevated circulating 3-methyl-2-oxovaleric acid concentration	None
Abnormal circulating methionine concentration	None
Abnormality of methionine metabolism	None
Elevated circulating glutathione concentration	None
Glutathione high in blood	None
Exercise-induced myoglobinuria	None
Exercise-induced myoglobinuria in adults	None
Decreased activity of mitochondrial complex I	None
Respiratory complex I deficiency	None
Decreased plasma free carnitine	None
Lipogranulomatosis	None
Corneal stromal oedema	None
Corneal stromal edema	None
Moderate proteinuria	None
2,8-dihydroxyadenine urinary crystals	None
2,8-dihydroxyadenine crystalluria	None
Fatty casts	None
Long chain 3 hydroxyacyl coA dehydrogenase deficiency	None
Decreased 3-hydroxyacyl-CoA dehydrogenase level	None
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase deficiency	None
Abnormal natural killer cell physiology	None
Chronic partially decreased circulating IgG3	None
Chronic partially decreased IgG3 in blood	None
Abnormal circulating amino acid concentration	None
Abnormality of serum amino acid levels	None
Abnormality of serum amino acid level	None
Hyperapobetalipoproteinemia	None
Lacticacidemia	None
Lactic acidosis	None
Lactic acidemia	None
Hyperlacticacidemia	None
Increased lactate in body	None
Lacticacidosis	None
Generalised distal tubular acidosis	None
Generalized distal tubular acidosis	None
Abnormal urinary non-proteinogenic amino acid level	None
Abnormal enzyme/coenzyme activity	None
Transient decreased IgG2 in blood	None
Transient decreased circulating IgG2	None
Alpha heavy chain disease	None
IgA heavy chain paraproteinemia	None
Complex organic aciduria	None
Increased circulating CK MB isoform	None
Increased circulating creatine kinase MB isoform	None
D-2-hydroxyglutaric acidemia	None
Abnormality of urinary uric acid level	None
Abnormal circulating porphyrin concentration	None
Elevated urinary non-proteinogenic amino acid level	None
Increased urinary non-proteinogenic amino acid level	None
Elevated csf protein	None
Increased CSF protein	None
Increased protein in csf	None
Hyperproteinorrhachia	None
Cerebrospinal fluid with increased protein	None
Increased CSF protein concentration	None
Elevated cerebrospinal fluid protein	None
Cerebrospinal fluid protein increased	None
Spinal fluid protein elevated	None
Reduced circulating leukotriene C4 concentration	None
Increased plasma levels of very long-chain fatty acid	None
Increased circulating very long-chain fatty acid concentration	None
Abnormal glucose-6-phosphate dehydrogenase level in DBS	None
Abnormal glucose-6-phosphate dehydrogenase level in dried blood spot	None
Abnormal G6PD level in dried blood spot	None
2-hydroxyglutarate aciduria	None
Increased urinary disaccharide excretion	None
Elevated circulating beta-sitosterol concentration	None
Elevated circulating sitosterol concentration	None
Abnormal CSF tryptophan concentration	None
Abnormal tryptophan levels in cerebrospinal fluid	None
Increased oocyte death	None
Propionyl-CoA carboxylase deficiency	None
Elevated circulating 3-methylhistidine concentration	None
Abnormal urine protein level	None
Abnormal sex hormone-binding globulin level	None
Decreased succinic semialdehyde dehydrogenase level	None
Diabetes mellitus	None
Elevated gamma-glutamyltransferase level	None
Elevated serum GGT	None
Reduced galactocerebrosidase activity	None
Polyclonal elevation of IgM	None
Copper accumulation in liver	None
Liver copper accumulation	None
Abnormal CSF glucose concentration	None
Abnormal CSF glucose level	None
Increased circulating creatine kinase MM isoform	None
Increased circulating CK MM isoform	None
Anasarca	None
Extreme generalised oedema	None
Extreme generalized edema	None
Decreased superoxide:superoxide oxidoreductase activity	None
Decreased superoxide dismutase level	None
Increased circulating apolipoprotein circulation	None
Decreased uridine diphosphate glucose-4-epimerase level in red blood cells	None
Decreased UDP-glucose 4-epimerase level in RBCs	None
Decreased UDP-glucose 4-epimerase level in red blood cells	None
Acidosis	None
Increased level of D-threitol in urine	None
IgE deficiency	None
Decreased IgE	None
Decreased circulating IgE	None
Increased CSF citrulline concentration	None
High citrulline levels in cerebrospinal fluid	None
Shortened O-fucosylated glycan on properdin	None
Presence of terminal O-fucose glycans on properdin	None
Viremia	None
Bacterial cell casts	None
Transient hyperlipidemia	None
Reducted HPPD activity	None
Reduced 4-Hydroxyphenylpyruvate dioxygenase level	None
Increased activity of mitochondrial respiratory chain	None
IgA hypergammaglobulinemia	None
Increased circulating IgA level	None
Increased serum IgA	None
Elevated serum IgA	None
Increased levels of IgA	None
Elevated IgA	None
Low levels of vitamin K	None
Decreased level of platelet-activating factor	None
Decreased level of PAF	None
Hypokalemic metabolic alkalosis	None
Hemosiderinuria	None
Pituitary hypothyroidism	None
TSH deficient hypothyroidism	None
Secondary hypothyroidism	None
Low thyroid gland function due to abnormal pituitary gland	None
Thyroid stimulating hormone deficiency	None
Thyrotropin deficiency	None
Inappropriately normal TSH	None
Inappropriately normal thyroid-stimulating hormone level	None
Thyroid dysgenesis	None
Thyroid dysplasia	None
Primary hypothyroidism	None
Ectopic parathyroid	None
Inappropriate antidiuretic hormone secretion	None
Syndrome of inappropriate antidiuretic hormone secretion	None
SIADH	None
Inappropriate ADH secretion	None
Hypothalamic hypothyroidism	None
Tertiary hypothyroidism	None
Pancreatic alpha-cell hyperplasia	None
Insulin-dependent but ketosis-resistant diabetes	None
Pineal cyst	None
Lung carcinoid tumor	None
Pulmonary carcinoid tumor	None
Pulmonary carcinoid tumour	None
Lung carcinoid tumour	None
Diabetes mellitus type 2	None
Noninsulin dependent diabetes mellitus	None
Type II diabetes mellitus	None
Diabetes mellitus, noninsulin-dependent	None
NIDDM diabetes mellitus	None
Diabetes mellitus Type II	None
Noninsulin-dependent diabetes mellitus	None
Noninsulin-dependent diabetes	None
Non-insulin dependent diabetes	None
Type 2 diabetes	None
NIDDM	None
Type II diabetes	None
Abnormal circulating free T4 level	None
Abnormal circulating free thyroxine level	None
Abnormal circulating free T4 concentration	None
Abnormal thyroid function	None
Abnormality of thyroid physiology	None
Primary hyperparathyroidism	None
Decreased circulating dihydrotestosterone concentration	None
Delayed thelarche	None
Central hypothyroidism	None
Parathyroid dysfunction	None
Abnormality of the parathyroid physiology	None
Parathyroid issue	None
Beta-cell dysfunction	None
Aplasia of the pituitary gland	None
Anterior pituitary agenesis	None
